Date(UTC),UnixTimeStamp,Value,,,
8/29/2020,1598659200,3.01,,,
8/30/2020,1598745600,3,,,
8/31/2020,1598832000,3,,,
9/1/2020,1598918400,3,,,
9/2/2020,1599004800,3,,,
9/3/2020,1599091200,3,,,
9/4/2020,1599177600,3,,,
9/5/2020,1599264000,3,,,
9/6/2020,1599350400,3,,,
9/7/2020,1599436800,3,,,
9/8/2020,1599523200,3,,,
9/9/2020,1599609600,3,,,
9/10/2020,1599696000,3,,,
9/11/2020,1599782400,3,,,
9/12/2020,1599868800,3,,,
9/13/2020,1599955200,3,,,
9/14/2020,1600041600,3,,,
9/15/2020,1600128000,3,,,
9/16/2020,1600214400,3,,,
9/17/2020,1600300800,3,,,
9/18/2020,1600387200,3,,,
9/19/2020,1600473600,3,,,
9/20/2020,1600560000,3,,,
9/21/2020,1600646400,3,,,
9/22/2020,1600732800,3,,,
9/23/2020,1600819200,3,,,
9/24/2020,1600905600,3,,,
9/25/2020,1600992000,3,,,
9/26/2020,1601078400,3,,,
9/27/2020,1601164800,3,,,
9/28/2020,1601251200,3,,,
9/29/2020,1601337600,3,,,
9/30/2020,1601424000,3,,,
10/1/2020,1601510400,3,,,
10/2/2020,1601596800,3,,,
10/3/2020,1601683200,3,,,
10/4/2020,1601769600,3,,,
10/5/2020,1601856000,3,,,
10/6/2020,1601942400,3,,,
10/7/2020,1602028800,3,,,
10/8/2020,1602115200,3,,,
10/9/2020,1602201600,3,,,
10/10/2020,1602288000,3,,,
10/11/2020,1602374400,3,,,
10/12/2020,1602460800,3,,,
10/13/2020,1602547200,3,,,
10/14/2020,1602633600,3,,,
10/15/2020,1602720000,3,,,
10/16/2020,1602806400,3,,,
10/17/2020,1602892800,3,,,
10/18/2020,1602979200,3,,,
10/19/2020,1603065600,3,,,
10/20/2020,1603152000,3,,,
10/21/2020,1603238400,3,,,
10/22/2020,1603324800,3.01,,,
10/23/2020,1603411200,3,,,
10/24/2020,1603497600,3,,,
10/25/2020,1603584000,3,,,
10/26/2020,1603670400,3,,,
10/27/2020,1603756800,3,,,
10/28/2020,1603843200,3,,,
10/29/2020,1603929600,3,,,
10/30/2020,1604016000,3,,,
10/31/2020,1604102400,3,,,
11/1/2020,1604188800,3,,,
11/2/2020,1604275200,3,,,
11/3/2020,1604361600,3,,,
11/4/2020,1604448000,3,,,
11/5/2020,1604534400,3,,,
11/6/2020,1604620800,3,,,
11/7/2020,1604707200,3,,,
11/8/2020,1604793600,3,,,
11/9/2020,1604880000,3,,,
11/10/2020,1604966400,3.01,,,
11/11/2020,1605052800,3,,,
11/12/2020,1605139200,3,,,
11/13/2020,1605225600,3,,,
11/14/2020,1605312000,3,,,
11/15/2020,1605398400,3,,,
11/16/2020,1605484800,3.01,,,
11/17/2020,1605571200,3.01,,,
11/18/2020,1605657600,3,,,
11/19/2020,1605744000,3.01,,,
11/20/2020,1605830400,3,,,
11/21/2020,1605916800,3.01,,,
11/22/2020,1606003200,3,,,
11/23/2020,1606089600,3,,,
11/24/2020,1606176000,3.01,,,
11/25/2020,1606262400,3.01,,,
11/26/2020,1606348800,3.01,,,
11/27/2020,1606435200,3,,,
11/28/2020,1606521600,3,,,
11/29/2020,1606608000,3,,,
11/30/2020,1606694400,3,,,
12/1/2020,1606780800,3,,,
12/2/2020,1606867200,3.01,,,
12/3/2020,1606953600,3,,,
12/4/2020,1607040000,3.01,,,
12/5/2020,1607126400,3,,,
12/6/2020,1607212800,3,,,
12/7/2020,1607299200,3,,,
12/8/2020,1607385600,3,,,
12/9/2020,1607472000,3.02,,,
12/10/2020,1607558400,3.01,,,
12/11/2020,1607644800,3,,,
12/12/2020,1607731200,3,,,
12/13/2020,1607817600,3,,,
12/14/2020,1607904000,3,,,
12/15/2020,1607990400,3.01,,,
12/16/2020,1608076800,3.01,,,
12/17/2020,1608163200,3,,,
12/18/2020,1608249600,3.01,,,
12/19/2020,1608336000,3.01,,,
12/20/2020,1608422400,3,,,
12/21/2020,1608508800,3,,,
12/22/2020,1608595200,3,,,
12/23/2020,1608681600,3,,,
12/24/2020,1608768000,3,,,
12/25/2020,1608854400,3,,,
12/26/2020,1608940800,3,,,
12/27/2020,1609027200,3,,,
12/28/2020,1609113600,3,,,
12/29/2020,1609200000,3,,,
12/30/2020,1609286400,3,,,
12/31/2020,1609372800,3,,,
1/1/2021,1609459200,3,,,
1/2/2021,1609545600,3,,,
1/3/2021,1609632000,3,,,
1/4/2021,1609718400,3.01,,,
1/5/2021,1609804800,3,,,
1/6/2021,1609891200,3,,,
1/7/2021,1609977600,3,,,
1/8/2021,1610064000,3,,,
1/9/2021,1610150400,3,,,
1/10/2021,1610236800,3,,,
1/11/2021,1610323200,3,,,
1/12/2021,1610409600,3,,,
1/13/2021,1610496000,3,,,
1/14/2021,1610582400,3,,,
1/15/2021,1610668800,3,,,
1/16/2021,1610755200,3,,,
1/17/2021,1610841600,3,,,
1/18/2021,1610928000,3,,,
1/19/2021,1611014400,3,,,
1/20/2021,1611100800,3,,,
1/21/2021,1611187200,3,,,
1/22/2021,1611273600,3,,,
1/23/2021,1611360000,3,,,
1/24/2021,1611446400,3,,,
1/25/2021,1611532800,3,,,
1/26/2021,1611619200,3,,,
1/27/2021,1611705600,3,,,
1/28/2021,1611792000,3,,,
1/29/2021,1611878400,3,,,
1/30/2021,1611964800,3.01,,,
1/31/2021,1612051200,3.01,,,
2/1/2021,1612137600,3,,,
2/2/2021,1612224000,3.08,,,
2/3/2021,1612310400,3.05,,,
2/4/2021,1612396800,3,,,
2/5/2021,1612483200,3,,,
2/6/2021,1612569600,3,,,
2/7/2021,1612656000,3,,,
2/8/2021,1612742400,3.01,,,
2/9/2021,1612828800,3.01,,,
2/10/2021,1612915200,3,,,
2/11/2021,1613001600,3,,,
2/12/2021,1613088000,3,,,
2/13/2021,1613174400,3,,,
2/14/2021,1613260800,3,,,
2/15/2021,1613347200,3.01,,,
2/16/2021,1613433600,3.01,,,
2/17/2021,1613520000,3.01,,,
2/18/2021,1613606400,3.03,,,
2/19/2021,1613692800,3.19,,,
2/20/2021,1613779200,3.07,,,
2/21/2021,1613865600,3.05,,,
2/22/2021,1613952000,3.02,,,
2/23/2021,1614038400,3.03,,,
2/24/2021,1614124800,3.01,,,
2/25/2021,1614211200,3.01,,,
2/26/2021,1614297600,3.01,,,
2/27/2021,1614384000,3.01,,,
2/28/2021,1614470400,3.01,,,
3/1/2021,1614556800,3.01,,,
3/2/2021,1614643200,3,,,
3/3/2021,1614729600,3.18,,,
3/4/2021,1614816000,3,,,
3/5/2021,1614902400,3,,,
3/6/2021,1614988800,3,,,
3/7/2021,1615075200,3,,,
3/8/2021,1615161600,3,,,
