Date(UTC),UnixTimeStamp,Value
8/29/2020,1598659200,616
8/30/2020,1598745600,613
8/31/2020,1598832000,626
9/1/2020,1598918400,628
9/2/2020,1599004800,626
9/3/2020,1599091200,679
9/4/2020,1599177600,723
9/5/2020,1599264000,720
9/6/2020,1599350400,739
9/7/2020,1599436800,765
9/8/2020,1599523200,849
9/9/2020,1599609600,856
9/10/2020,1599696000,856
9/11/2020,1599782400,951
9/12/2020,1599868800,1581
9/13/2020,1599955200,1832
9/14/2020,1600041600,4022
9/15/2020,1600128000,1820
9/16/2020,1600214400,1223
9/17/2020,1600300800,1469
9/18/2020,1600387200,1544
9/19/2020,1600473600,1010
9/20/2020,1600560000,981
9/21/2020,1600646400,1271
9/22/2020,1600732800,1526
9/23/2020,1600819200,1326
9/24/2020,1600905600,1636
9/25/2020,1600992000,1459
9/26/2020,1601078400,1322
9/27/2020,1601164800,1392
9/28/2020,1601251200,1923
9/29/2020,1601337600,2112
9/30/2020,1601424000,2147
10/1/2020,1601510400,1924
10/2/2020,1601596800,1678
10/3/2020,1601683200,2006
10/4/2020,1601769600,1747
10/5/2020,1601856000,1882
10/6/2020,1601942400,2130
10/7/2020,1602028800,2426
10/8/2020,1602115200,2502
10/9/2020,1602201600,2573
10/10/2020,1602288000,2398
10/11/2020,1602374400,2234
10/12/2020,1602460800,2307
10/13/2020,1602547200,2225
10/14/2020,1602633600,2055
10/15/2020,1602720000,2541
10/16/2020,1602806400,2399
10/17/2020,1602892800,2651
10/18/2020,1602979200,2495
10/19/2020,1603065600,2746
10/20/2020,1603152000,2857
10/21/2020,1603238400,2420
10/22/2020,1603324800,2245
10/23/2020,1603411200,2604
10/24/2020,1603497600,2180
10/25/2020,1603584000,2477
10/26/2020,1603670400,2676
10/27/2020,1603756800,2457
10/28/2020,1603843200,2356
10/29/2020,1603929600,2282
10/30/2020,1604016000,2103
10/31/2020,1604102400,1933
11/1/2020,1604188800,1898
11/2/2020,1604275200,2032
11/3/2020,1604361600,2201
11/4/2020,1604448000,1925
11/5/2020,1604534400,1848
11/6/2020,1604620800,1910
11/7/2020,1604707200,1963
11/8/2020,1604793600,1607
11/9/2020,1604880000,1767
11/10/2020,1604966400,1773
11/11/2020,1605052800,2028
11/12/2020,1605139200,1626
11/13/2020,1605225600,1658
11/14/2020,1605312000,1484
11/15/2020,1605398400,1533
11/16/2020,1605484800,1656
11/17/2020,1605571200,1737
11/18/2020,1605657600,2003
11/19/2020,1605744000,1886
